Table S5: BLASTp results generated by querying a protein with a Nidovirus-like domain present in dipteran species against the nr database. Results are sorted by E-value.,,,,,,,
,,,,,,,
Aedes aegypti,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
EAT33730,99.40%,EAT33730,AAEL013999-PA [Aedes aegypti],0,345,Aedes aegypti,NC_035108 - LOC5579059 CDS translation
XP_001657255,100.00%,XP_001657255,uncharacterized protein LOC5579059 [Aedes aegypti],0,345,Aedes aegypti,NC_035108 - LOC5579059 CDS translation
KXJ70550,54.70%,KXJ70550,hypothetical protein RP20_CCG023183 [Aedes albopictus],2.86E-101,303,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_019547701,57.70%,XP_019547701,PREDICTED: uncharacterized protein LOC109418001 isoform X2 [Aedes albopictus],7.68E-99,278,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_019547702,57.70%,XP_019547702,PREDICTED: uncharacterized protein LOC109418001 isoform X3 [Aedes albopictus],7.88E-99,278,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_019547700,57.70%,XP_019547700,PREDICTED: uncharacterized protein LOC109418001 isoform X1 [Aedes albopictus],9.19E-99,278,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_019534633,67.30%,XP_019534633,PREDICTED: uncharacterized protein LOC109406026 isoform X4 [Aedes albopictus],3.11E-98,222,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_019534632,67.30%,XP_019534632,PREDICTED: uncharacterized protein LOC109406026 isoform X3 [Aedes albopictus],3.68E-98,222,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_019534631,67.30%,XP_019534631,PREDICTED: uncharacterized protein LOC109406026 isoform X2 [Aedes albopictus],4.18E-98,222,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_019534630,67.30%,XP_019534630,PREDICTED: uncharacterized protein LOC109406026 isoform X1 [Aedes albopictus],5.01E-98,222,Aedes albopictus,NC_035108 - LOC5579059 CDS translation
XP_001868005,53.90%,XP_001868005,conserved hypothetical protein [Culex quinquefasciatus],9.00E-65,191,Culex quinquefasciatus,NC_035108 - LOC5579059 CDS translation
ETN66873,38.90%,ETN66873,hypothetical protein AND_001331 [Anopheles darlingi],6.49E-45,221,Anopheles darlingi,NC_035108 - LOC5579059 CDS translation
XP_565200,35.80%,XP_565200,AGAP007003-PA [Anopheles gambiae str. PEST],1.36E-39,256,Anopheles gambiae,NC_035108 - LOC5579059 CDS translation
KFB52903,41.20%,KFB52903,hypothetical protein ZHAS_00021182 [Anopheles sinensis],3.90E-37,187,Anopheles sinensis,NC_035108 - LOC5579059 CDS translation
XP_005180669,29.80%,XP_005180669,PREDICTED: uncharacterized protein LOC101887953 [Musca domestica],8.49E-28,221,Musca domestica,NC_035108 - LOC5579059 CDS translation
XP_023293359,29.20%,XP_023293359,uncharacterized protein LOC111676629 [Lucilia cuprina],3.72E-27,240,Lucilia cuprina,NC_035108 - LOC5579059 CDS translation
XP_017059883,29.30%,XP_017059883,PREDICTED: uncharacterized protein LOC108100465 [Drosophila ficusphila],1.01E-24,214,Drosophila ficusphila,NC_035108 - LOC5579059 CDS translation
XP_004537685,30.20%,XP_004537685,uncharacterized protein LOC101449319 [Ceratitis capitata],1.53E-24,214,Ceratitis capitata,NC_035108 - LOC5579059 CDS translation
XP_011190096,24.70%,XP_011190096,PREDICTED: uncharacterized protein LOC105216994 [Zeugodacus cucurbitae],3.87E-24,278,Zeugodacus cucurbitae,NC_035108 - LOC5579059 CDS translation
XP_017071307,28.40%,XP_017071307,PREDICTED: uncharacterized protein LOC108107974 [Drosophila eugracilis],9.37E-24,280,Drosophila eugracilis,NC_035108 - LOC5579059 CDS translation
XP_016971134,28.40%,XP_016971134,PREDICTED: uncharacterized protein LOC108038801 [Drosophila rhopaloa],2.40E-23,224,Drosophila rhopaloa,NC_035108 - LOC5579059 CDS translation
XP_017121963,25.40%,XP_017121963,PREDICTED: uncharacterized protein LOC108142546 [Drosophila elegans],3.57E-23,327,Drosophila elegans,NC_035108 - LOC5579059 CDS translation
XP_022218086,29.10%,XP_022218086,uncharacterized protein LOC111071193 [Drosophila obscura],6.90E-23,213,Drosophila obscura,NC_035108 - LOC5579059 CDS translation
XP_013111449,28.30%,XP_013111449,PREDICTED: uncharacterized protein LOC106089976 isoform X1 [Stomoxys calcitrans],1.32E-22,186,Stomoxys calcitrans,NC_035108 - LOC5579059 CDS translation
XP_017009530,28.00%,XP_017009530,PREDICTED: uncharacterized protein LOC108065824 [Drosophila takahashii],3.52E-22,284,Drosophila takahashii,NC_035108 - LOC5579059 CDS translation
XP_017089575,27.60%,XP_017089575,PREDICTED: uncharacterized protein LOC108120422 [Drosophila bipectinata],1.70E-21,219,Drosophila bipectinata,NC_035108 - LOC5579059 CDS translation
XP_002137636,28.80%,XP_002137636,uncharacterized protein Dpse_GA26427 [Drosophila pseudoobscura pseudoobscura],2.72E-21,216,Drosophila pseudoobscura,NC_035108 - LOC5579059 CDS translation
XP_001958296,29.80%,XP_001958296,uncharacterized protein Dana_GF10850 [Drosophila ananassae],3.48E-21,186,Drosophila ananassae,NC_035108 - LOC5579059 CDS translation
CRK90402,26.90%,CRK90402,"CLUMA_CG004016, isoform A [Clunio marinus]",3.54E-21,214,Clunio marinus,NC_035108 - LOC5579059 CDS translation
XP_017955411,26.50%,XP_017955411,PREDICTED: uncharacterized protein LOC108650694 [Drosophila navojoa],4.04E-21,212,Drosophila navojoa,NC_035108 - LOC5579059 CDS translation
XP_016924732,26.40%,XP_016924732,PREDICTED: uncharacterized protein LOC108005865 [Drosophila suzukii],6.97E-21,243,Drosophila suzukii,NC_035108 - LOC5579059 CDS translation
XP_002062358,27.00%,XP_002062358,uncharacterized protein LOC6638941 [Drosophila willistoni],7.35E-21,213,Drosophila willistoni,NC_035108 - LOC5579059 CDS translation
XP_016032551,27.00%,XP_016032551,uncharacterized protein Dsimw501_GD12251 [Drosophila simulans],7.37E-21,232,Drosophila simulans,NC_035108 - LOC5579059 CDS translation
XP_002008755,25.90%,XP_002008755,uncharacterized protein Dmoj_GI13670 [Drosophila mojavensis],9.93E-21,241,Drosophila mojavensis,NC_035108 - LOC5579059 CDS translation
XP_002016852,28.30%,XP_002016852,GL21850 [Drosophila persimilis],2.22E-20,216,Drosophila persimilis,NC_035108 - LOC5579059 CDS translation
XP_002095568,26.00%,XP_002095568,"uncharacterized protein Dyak_GE22466, isoform A [Drosophila yakuba]",2.25E-20,218,Drosophila yakuba,NC_035108 - LOC5579059 CDS translation
XP_017494774,26.80%,XP_017494774,PREDICTED: uncharacterized protein LOC108382918 [Rhagoletis zephyria],2.79E-20,205,Rhagoletis zephyria,NC_035108 - LOC5579059 CDS translation
XP_002048501,26.10%,XP_002048501,uncharacterized protein Dvir_GJ14006 [Drosophila virilis],2.90E-20,223,Drosophila virilis,NC_035108 - LOC5579059 CDS translation
XP_023178315,26.30%,XP_023178315,uncharacterized protein LOC111604465 [Drosophila hydei],3.90E-20,227,Drosophila hydei,NC_035108 - LOC5579059 CDS translation
EDX11122,25.80%,EDX11122,GD12251 [Drosophila simulans],5.18E-20,232,Drosophila simulans,NC_035108 - LOC5579059 CDS translation
XP_016955811,25.90%,XP_016955811,PREDICTED: uncharacterized protein LOC108028464 [Drosophila biarmipes],5.80E-20,236,Drosophila biarmipes,NC_035108 - LOC5579059 CDS translation
XP_017021209,26.00%,XP_017021209,PREDICTED: uncharacterized protein LOC108073923 [Drosophila kikkawai],6.85E-20,225,Drosophila kikkawai,NC_035108 - LOC5579059 CDS translation
XP_017861065,26.50%,XP_017861065,PREDICTED: uncharacterized protein LOC108612624 [Drosophila arizonae],7.75E-20,212,Drosophila arizonae,NC_035108 - LOC5579059 CDS translation
XP_014090933,25.20%,XP_014090933,PREDICTED: uncharacterized protein LOC106617965 isoform X1 [Bactrocera oleae],9.72E-20,217,Bactrocera oleae,NC_035108 - LOC5579059 CDS translation
XP_017843422,26.10%,XP_017843422,PREDICTED: uncharacterized protein LOC108600387 [Drosophila busckii],1.01E-19,220,Drosophila busckii,NC_035108 - LOC5579059 CDS translation
XP_002043614,24.80%,XP_002043614,GM16288 [Drosophila sechellia],1.13E-19,214,Drosophila sechellia,NC_035108 - LOC5579059 CDS translation
NP_649149,26.00%,NP_649149,"torsin interacting protein, isoform A [Drosophila melanogaster]",1.18E-19,218,Drosophila melanogaster,NC_035108 - LOC5579059 CDS translation
XP_001973384,27.40%,XP_001973384,uncharacterized protein Dere_GG13373 [Drosophila erecta],1.44E-19,218,Drosophila erecta,NC_035108 - LOC5579059 CDS translation
XP_014090934,25.20%,XP_014090934,PREDICTED: uncharacterized protein LOC106617965 isoform X2 [Bactrocera oleae],1.49E-19,217,Bactrocera oleae,NC_035108 - LOC5579059 CDS translation
XP_976409,26.80%,XP_976409,PREDICTED: uncharacterized protein LOC662064 isoform X2 [Tribolium castaneum],1.56E-19,220,Tribolium castaneum,NC_035108 - LOC5579059 CDS translation
XP_008197566,26.80%,XP_008197566,PREDICTED: uncharacterized protein LOC662064 isoform X1 [Tribolium castaneum],1.59E-19,220,Tribolium castaneum,NC_035108 - LOC5579059 CDS translation
XP_018799440,28.00%,XP_018799440,PREDICTED: uncharacterized protein LOC108975420 isoform X1 [Bactrocera latifrons],2.07E-19,186,Bactrocera latifrons,NC_035108 - LOC5579059 CDS translation
YP_007697642,34.20%,YP_007697642,ORF1ab [Nse virus],2.43E-19,189,Nse virus,NC_035108 - LOC5579059 CDS translation
AGL73191,32.30%,AGL73191,ORF1 [Kamphang Phet virus],2.48E-19,185,Kamphang Phet,NC_035108 - LOC5579059 CDS translation
