"Table S4: Distance matrix of complete NIRVS sequences, in organisms with multiple identified NIRVS. The ID of the NIRVS (genomic chromosome/scaffold_x) corresponds to those listed in Table S2. Nucleotide distances (% identity) based on ClustalW alignment implemented in Geneious (v10.2.3). Distances >98% are highlighted in green.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIRVS ID,NC_035107_42,NC_035107_70,NC_035108_26,NC_035107_31,NC_035107_44,NC_035107_12,NC_035107_1,NC_035109_1,NC_035108_58,NC_035109_50,NC_035109_63,NC_035107_62,NC_035109_61,NC_035109_60,NC_035109_55,NC_035108_70,NC_035109_54,NC_035107_3,NC_035107_6,NC_035107_54,NC_035108_56,NC_035107_18,NC_035108_69,NC_035109_62,NC_035109_51,NC_035107_7,NC_035107_65,NC_035107_52,NC_035108_68,NC_035108_67,NC_035108_5,NC_035108_66,NC_035107_29,NC_035107_41,NC_035107_66,NC_035107_45,NC_035109_65,NC_035109_85,NC_035109_86,NC_035109_87,NC_035108_76,NC_035109_88,NC_035108_77,NC_035107_23,NC_035107_63,NC_035108_80,NC_035107_25,NC_035108_24,NC_035108_23,NC_035107_69,NC_035109_32,NC_035107_61,NC_035109_22,NC_035109_21,NC_035109_27,NC_035109_28,NC_035109_26,NC_035107_8,NC_035109_33,NW_018736686_3,NC_035109_49,NC_035109_66,NC_035109_45,NC_035109_25,NC_035109_24,NC_035109_20,NC_035109_53,NC_035109_44,NC_035108_34,NC_035109_11,NC_035109_12,NC_035107_33,NC_035109_31,NC_035109_30,NC_035107_32,NC_035109_23,NC_035109_29,NC_035108_81,NC_035108_83,NC_035108_86,NC_035108_87,NC_035108_88,NC_035108_89,NC_035107_10,NC_035108_22,NC_035108_21,NC_035108_20,NC_035108_19,NC_035108_18,NC_035109_40,NC_035107_26,NC_035107_28,NC_035107_4,NC_035108_50,NC_035108_37,NC_035108_45,NC_035109_37,NC_035107_19,NC_035107_20,NC_035108_36,NC_035107_46,NC_035108_35,NC_035109_39,NC_035107_11,NC_035109_47,NC_035107_49,NC_035107_30,NC_035108_32,NC_035108_29,NC_035109_7,NC_035109_8,NC_035109_9,NC_035109_10,NC_035108_11,NC_035108_9,NC_035108_52,NC_035108_8,NC_035109_16,NC_035109_14,NC_035109_13,NC_035109_15,NC_035108_6,NC_035108_7,NW_018734985_2,NW_018734985_1,NC_035107_27,NC_035108_73,NC_035109_83,NC_035109_82,NC_035109_74,NC_035109_71,NC_035109_67,NC_035109_75,NC_035109_81,NC_035109_79,NC_035109_76,NC_035109_77,NC_035109_72,NC_035109_73,NC_035109_69,NC_035109_78,NC_035109_84,NC_035109_80,NC_035109_68,NC_035109_70,NC_035108_75,NC_035108_78,NC_035108_74,NC_035109_17,NC_035109_18,NC_035109_3,NW_018736689,NC_035109_4,NC_035109_59,NW_018735670_3,NW_018735421_2,NW_018736212,NC_035107_47,NC_035108_64,NC_035109_56,NW_018735670_1,NC_035108_65,NW_018736703,NW_018734587,NC_035108_57,NC_035108_3,NC_035107_59,NC_035108_55,NC_035107_16,NC_035107_68,NW_018736214,NC_035108_2,NC_035108_71,NC_035108_54,NC_035108_59,NC_035109_57,NC_035107_9,NW_018736262,NC_035108_4,NC_035108_62,NC_035108_60,NC_035108_63,NC_035109_52,NW_018735421_1,NC_035109_58,NW_018735670_2,NW_018735421_3,NC_035107_67,NC_035107_21,NW_018736442_1,NC_035109_38,NC_035108_40,NW_018736442_2,NW_018736442_3,NW_018736357,NC_035109_48,NW_018734666,NC_035108_43,NC_035108_44,NC_035108_79,NC_035108_42,NC_035108_41,NC_035108_39,NC_035108_84,NC_035108_33,NC_035107_14,NC_035109_46,NC_035107_48,NC_035108_46,NC_035108_90,NC_035108_91,NC_035108_82,NC_035108_48,NC_035108_49,NC_035107_13,NC_035107_36,NC_035107_35,NC_035109_36,NC_035107_40,NC_035107_2,NC_035107_43,NC_035107_39,NC_035107_64,NC_035107_56,NC_035107_57,NC_035107_58,NC_035107_38,NC_035107_37,NC_035108_51,NC_035108_53,NC_035109_43,NC_035108_30,NC_035108_31,NC_035107_50,NW_018736113_2,NC_035107_34,NW_018736113_1,NC_035109_42,NC_035109_41,NC_035108_47,NC_035107_55,NC_035108_92,NC_035108_28,NW_018736686_2,NC_035107_22,NC_035108_17,NC_035108_16,NC_035107_53,NC_035108_85,NC_035107_51,NC_035108_38,NC_035109_5,NC_035109_6,NC_035108_12,NC_035107_60,NC_035109_2,NC_035107_15,NC_035108_27,NC_035108_61,NW_018736686_1,NC_035109_34,NC_035107_24,NC_035108_1,NW_018735537_1,NC_035109_64,NC_035108_25,NC_035108_10,NC_035108_13,NW_018735537_2,NC_035108_14,NC_035107_5,NC_035107_17,NC_035108_93,NC_035109_19,NC_035108_72,NC_035109_35,NC_035108_15
NC_035107_42,,65.363,40.659,29.189,24.865,23.958,0,29.814,34.066,34.615,34.066,34.066,34.066,34.066,33.516,34.615,28.571,28.022,25.824,29.121,29.121,29.121,29.121,29.121,26,0,31.383,0,30.319,30.319,30.319,27.807,30.851,32.447,0,28.191,17.021,28.191,27.66,27.66,25,25,25,26.064,26.064,25,26.064,26.136,25.806,26.344,25.806,25.806,25.269,25.269,23.118,23.118,22.34,22.34,25.405,23.404,23.404,19.892,21.277,22.222,21.693,25.397,21.809,21.277,22.34,23.936,23.936,0,26.455,25.397,25.926,26.984,0,29.63,29.63,29.63,29.63,29.63,29.63,27.513,20.106,20.106,19.577,19.577,19.577,19.048,24.339,24.339,24.339,28.571,32.184,20.482,23.28,29.63,29.63,29.63,28.571,30.159,26.984,29.63,25.287,26.984,25.532,25.926,27.513,25.926,25.926,19.892,19.892,21.164,21.164,21.164,0,23.81,23.81,24.339,23.81,21.164,22.222,23.81,24.339,22.222,25.397,24.868,24.868,24.339,24.339,24.339,24.868,24.868,24.868,25.397,25.397,24.868,24.868,24.868,25.397,24.339,24.868,24.868,24.868,26.984,26.984,26.984,24.868,24.868,27.66,24.868,25.397,24.868,24.868,23,40,23.28,0,26.4,19.577,0,26.455,26.455,26.455,0,25.397,25.397,25.397,0,24.113,25.397,23.81,23.28,23.28,23.28,23.28,23.28,0,22.751,23.81,23.28,0,0,26.984,26.984,26.984,27.513,27.513,27.083,25.532,25,24.615,28.571,26.064,24.468,23.404,23.936,23.936,19.565,19.481,23.936,0,0,26.596,26.064,27.128,26.064,26.596,23.404,23.404,23.936,22.642,27.273,23.404,23.404,29.07,22.872,20.745,20.745,20.745,20.745,20.745,20.745,20.635,20.745,20.745,20.745,21.809,21.809,19.255,24.468,25.532,27.128,25.532,23.404,25.532,35.294,21.374,22.078,21.053,23.28,23.28,19.681,26.119,26.984,24.607,30.909,27.513,19.895,22.751,24.211,29.319,27.368,23.81,24.607,20.635,23.834,28.497,28.042,22.751,23.316,28.947,20.725,23.037,22.513,25.789,27.225,26.316,22.513,19.689,23.711,26.563,24.103,22.051,34.737,25.128
NC_035107_70,65.363,,43.956,22.796,25.145,21.875,0,28.571,29.587,29.752,29.587,29.587,29.587,29.587,29.587,30.909,28.76,28.43,28.099,28.264,28.264,28.926,28.926,29.091,26.427,0,26.023,0,20,23.077,19.476,23.934,23.568,26.023,0,27.229,23.895,28.012,26.238,25.99,28.117,28.117,27.851,27.586,27.586,27.178,26.728,23.295,22.803,23.625,22.003,21.018,22.167,24.138,23.481,23.481,25.189,24.55,24.37,22.762,22.359,23.897,25.058,25.828,25.98,25.607,17.669,22.46,19.444,27.423,28.788,0,23.693,24.9,23.693,24.183,23.232,24.437,24.437,24.437,24.437,24.437,24.437,24.958,20.284,20.577,21.254,22.076,22.059,17.026,22.712,22.712,22.984,25.163,22.659,18.072,23.366,24.711,23.529,23.265,24.02,23.288,22.328,23.039,23.04,23.478,23.111,23.366,25.163,23.327,23.327,23.153,23.153,26.347,24.837,25.654,0,23.203,23.203,25.776,23.696,18.137,22.386,24.059,24.059,22.876,24.346,24.515,24.464,24.464,24.464,24.678,24.678,24.893,24.249,24.678,24.893,24.678,24.893,24.893,24.678,25.107,25.107,25,24.893,23.013,23.013,23.013,26.549,26.549,26.305,25.85,25.587,22.275,22.275,21,20,22.986,0,23.2,22.932,0,25.163,25.163,25.163,31.034,24.673,24.673,24.673,23.392,23.759,24.673,23.366,23.039,23.039,23.039,23.203,23.203,0,26.144,26.634,26.634,26.776,0,26.182,21.928,24.825,24.123,24.806,27.193,26.587,24.014,23.077,26.531,27.987,25.476,24.386,24.714,24.714,17.391,26.4,26.187,25.899,0,25.205,25.696,26.023,26.187,25.532,22.75,22.75,22.913,24.528,29.545,25.061,25.307,24.419,25.747,24.877,25.041,25.205,25.205,25.205,25.205,25.163,25.041,25.368,24.478,22.076,22.259,14.907,24.258,24.877,23.775,22.963,25,22.913,25,24.368,27.6,27.549,29.048,25.373,19.487,25.373,21.466,26.395,27.411,25.272,21.608,26.606,23.394,29.596,22.066,24.429,25,25.935,25.291,28.352,23.145,22.112,25.291,27.333,21.932,24.399,25.041,23.373,24.228,25.806,24.058,27.044,21.488,23.539,27.464,21.683,27.29,24.638
NC_035108_26,40.659,43.956,,21.053,26.316,20.988,0,33.696,41.304,41.304,41.304,41.304,41.304,42.391,42.391,30.435,32.609,31.522,32.609,27.174,27.174,34.783,34.783,34.783,0,0,21.429,0,29.592,29.592,29.592,27.835,28.571,24.49,0,26.531,22.449,23.469,23.469,24.49,21.429,21.429,21.429,23.469,23.469,23.469,21.429,22.449,22.449,21.429,24.49,18.367,20.408,20.408,21.429,21.429,18.367,25.51,16.495,22.449,22.68,26.804,22.449,24.242,24.242,25.253,18.367,21.429,19.388,21.649,21.649,0,21.212,23.232,21.212,23.232,0,20.202,20.202,21.212,21.212,21.212,21.212,18.182,26.263,26.263,26.263,26.263,26.263,20.202,22.222,22.222,22.222,27.273,19.048,23.729,24.242,26.263,26.263,22.222,25.253,23.232,23.232,27.273,24.242,22.222,19.192,17.172,21.212,25.253,25.253,28.571,28.571,17.172,18.182,17.172,0,27.273,27.273,27.273,27.273,22.222,21.212,22.222,22.222,19.192,21.212,31.313,31.313,30.303,30.303,30.303,30.303,30.303,30.303,31.313,31.313,30.303,30.303,30.303,31.313,30.303,30.303,30.303,30.303,23.232,23.232,23.232,24.242,24.242,31.633,31.313,24.242,22.222,22.222,22.368,0,29.293,0,27.273,29.293,0,25.253,25.253,25.253,0,29.293,29.293,29.293,0,30.667,30.303,30.303,31.313,31.313,31.313,31.313,31.313,0,27.273,27.273,27.273,0,0,27.273,27.273,27.273,33.333,33.333,26.667,24.242,29.293,23.81,29.333,22.222,23.232,28.283,25.253,25.253,13.636,27.273,23.232,0,0,25.253,24.242,20.202,19.192,27.273,21.212,21.212,21.212,27.586,40,25.253,25.253,33.333,26.263,27.273,27.273,27.273,27.273,27.273,27.273,27.273,27.273,27.273,27.273,26.263,26.263,23.232,21.212,21.212,26.263,17.172,25.253,17.172,0,24.615,0,0,26.263,26.263,23.232,29.885,25.253,17.172,24.742,28.283,18.182,23.232,32.323,29.293,21.212,28.283,26.263,28.283,14.141,24.242,20.202,24.242,22.222,29.293,26.263,17.822,23.762,10.417,15.842,29,23.762,18.182,27.723,21.782,23.762,21.782,24.242,21.782
NC_035107_31,29.189,22.796,21.053,,64.045,46.875,0,30.366,33.427,33.146,33.427,33.427,33.146,33.146,33.427,32.022,28.652,28.933,31.742,31.742,31.461,29.213,29.213,29.213,29.381,0,29.805,0,27.298,28.134,23.464,27.298,30.919,29.248,0,23.398,22.841,24.234,24.513,23.955,22.284,22.284,22.563,21.17,21.17,21.17,20.613,24.39,22.067,20.112,17.877,20.95,19.553,22.626,22.067,22.067,26.741,25.627,22.067,23.398,23.12,19.601,23.12,25.556,25.556,26.111,21.583,22.946,20.576,23.398,23.398,0,25,25.278,24.444,24.722,20.741,23.889,23.889,23.889,23.889,23.889,23.889,27.5,22.5,22.222,22.5,20.833,20.833,25.07,20,20,20,24.444,23.377,21.818,20.833,22.778,22.5,21.944,22.778,26.016,25,25,26.73,25.833,23.611,25,23.333,21.448,21.448,23.611,23.611,21.667,22.222,21.667,0,24.167,24.167,24.642,24.167,25.556,27.5,25.278,25,26.111,26.111,25.278,25,25.278,25,25.278,25,24.722,25,24.722,24.722,25,24.722,25,25.278,25,24.722,24.722,24.444,27.222,27.222,27.222,22.5,22.5,25.348,24.167,23.889,22.689,22.689,25.984,25,27.019,0,21.711,24.573,0,27.019,27.019,27.019,0,25.07,25.07,25.07,0,27.465,24.167,26.667,23.12,23.12,23.12,23.398,23.398,0,21.667,22.222,22.5,0,0,18.874,18.333,22.5,27.843,27.368,31.579,26.111,22.476,18.28,20.635,24.444,24.444,23.056,21.667,21.667,20.548,25.792,21.389,0,0,21.111,20.556,19.444,19.722,19.722,18.611,18.611,18.611,18.75,18.31,23.889,24.167,21.053,22.778,23.684,23.889,23.889,23.889,23.889,23.889,24.167,23.889,23.889,23.889,23.056,23.056,23.28,25,25,25.278,26.174,23.889,24.444,24.845,27.273,23.982,26.923,21.304,28.611,24.664,27.612,20.183,25.138,21.32,28.611,26.549,27.755,22.857,25.2,25.417,24.444,24.042,28.611,26.648,28.472,24.377,26.061,22.74,26.911,24.658,25.344,27.548,27.747,27.824,23.481,27.273,21.918,27.596,23.077,22.343,25.137,23.352,24.661
NC_035107_44,24.865,25.145,26.316,64.045,,46.809,0,30.595,31.445,31.445,31.445,31.445,31.02,31.303,31.303,31.818,30.453,30.878,32.011,31.445,31.303,29.887,29.887,29.603,28.534,29.851,28.27,23.256,23.993,23.207,22.414,26.578,28.45,26.864,12.5,23.432,22.222,23.901,24.034,23.866,21.127,21.127,21.303,21.479,21.479,21.842,23.36,24.661,25.244,22.953,21.66,25.035,23.91,25.176,24.332,24.332,24.051,26.02,25.273,19.759,20.401,18.863,21.865,23.602,23.315,22.36,21.942,21.013,21.622,21.008,21.44,21.805,23.034,21.789,23.248,23.174,24.916,22.394,22.394,22.394,22.394,22.394,22.394,23.736,23.167,22.849,24.93,23.803,23.803,20.508,22.896,22.191,22.601,22.612,19.637,21.898,20.509,21.314,21.77,22.614,22.191,22.444,23.181,21.91,22.803,24.27,24.922,22.753,22.472,23.455,23.455,23.736,23.736,23.048,22.472,23.315,0,24.438,24.298,22.417,23.195,18.601,23.596,23.946,23.688,24.438,25.14,24,24.465,24.465,24.353,24.618,24.312,24.312,24.159,24.312,24.312,24.201,24.049,24.201,24.353,24.505,24.32,23.549,24.049,25.589,25.589,25.589,24.471,24.471,22.92,23.576,23.177,23.383,23.383,26.846,18.367,23.817,0,20.886,24.289,0,24.579,24.579,24.579,0,24.157,24.157,24.298,25,26.638,23.993,23.596,21.77,21.77,21.77,22.051,22.051,0,23.006,23.034,22.623,28.261,0,21.245,21.452,26.966,24.205,24.053,25.439,24.569,23.992,20.233,21.034,22.893,24.837,22.472,22.753,22.753,21.097,22.738,20.787,22.917,13.333,24.017,24.298,22.893,22.612,22.753,22.472,22.472,22.472,18.782,18.298,23.038,23.205,20.504,22.01,23.774,22.612,22.612,22.612,22.612,22.612,22.753,22.472,22.612,21.348,21.348,21.067,20.113,21.77,21.629,22.333,21.861,22.332,22.072,26.934,26.782,24.205,26.216,20,25.303,24.79,23.134,19.111,24.81,23.858,28.037,25.2,23.462,25,27.778,25.18,25.562,23.986,24.585,24.86,25.77,26.216,26.402,20.682,22.521,27.553,24.196,24.895,26.8,26.294,23.698,27.985,24.701,27.159,25.14,23.644,23.398,27.415,25.52
NC_035107_12,23.958,21.875,20.988,46.875,46.809,,0,23.958,28.125,28.125,28.125,28.125,28.125,27.083,28.125,31.25,32.292,31.25,30.208,25,25,25,25,25,0,0,24.242,0,22.222,22.222,22.222,18.182,24.242,25.253,0,15.306,18.367,18.182,18.182,18.182,17.172,17.172,18.182,21.212,21.212,21.212,17.172,21.212,22.222,19.192,19.192,20.202,21.212,21.212,22.222,22.222,26.263,22.222,21.875,19.388,19.388,18.557,23.469,18,18,15,24.742,23.711,24.742,23.232,23.232,0,26,24,26,25,0,20,20,20,20,20,20,23,25,25,26,22,22,17,17,17,17,21,11.111,26.667,18.367,22,21,20,18,22,23,20,19,21,19,19,18,26,26,18,18,29,30,29,0,26,26,26,26,27,27,21,21,27,29,27,27,27,27,27,30,30,30,29,29,30,30,30,29,30,30,30,30,25,25,25,10,10,22.449,23.232,21,30,30,32.258,0,21,0,21.839,18,0,24,24,24,0,20,20,20,0,21.111,24,23,28,28,28,29,29,0,23,23,22,0,0,23,23,25,28.571,28.571,22.222,18,21,14.286,16.393,14,21,20,20,20,12.5,15.385,20,0,0,20,21,21,21,19,22,22,22,13.333,16.667,22,22,22.449,18,17,17,17,17,17,17,17,17,17,17,20,20,16,20,19,22,25,22,25,0,20,15.385,0,27,17,20.408,18.182,21,19,16,27,22.449,24,27,23,17,12,26,24,27,24,21,14,22,22,22,18.627,18.627,20.202,25.49,17.822,16.667,21,29.412,18.627,22.549,21.569,30,18.627
NC_035107_1,0,0,0,0,0,0,,52.84,56.568,56.568,56.568,56.568,56.3,55.412,54.897,0,58.824,58,60.725,52.941,55.882,50.128,49.872,53.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.077,0,0,0,21.978,23.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.384,0,28.436,18.919,0,0,28.755,28.448,0,33.108,33.108,33.108,0,0,0,27.982,22.951,22.951,22.951,23.265,23.265,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.714,0,0,0,0,0,0,0,0,23.614,0,0
NC_035109_1,29.814,28.571,33.696,30.366,30.595,23.958,52.84,,52.753,52.674,52.674,52.674,52.354,52.208,51.893,62.5,49.659,57.973,51.775,50.197,51.23,49.567,49.646,50.537,75.862,24.176,27.684,22.523,31.36,28.592,33.333,32.932,33.761,30.579,18.75,21.814,24.736,27.644,27.885,28.606,26.923,26.923,26.923,28.191,28.331,29.455,27.512,28.864,29.18,27.289,27.121,27.057,25.348,25.348,27.474,27.563,24.399,23.419,24.596,21.149,22.784,20,21.304,25.652,26.087,27.383,24.022,26.064,21.934,25.816,25.921,29.137,28.132,29.143,27.155,28.152,0,21.085,21.085,21.208,21.208,21.208,21.208,25.589,23.487,24.867,23.598,20.963,23.992,18.152,21.992,21.429,21.451,22.164,25.758,23.123,21.774,22.051,20.944,24.307,23.913,23.496,21.958,23.862,20.261,22.615,22.494,21.4,21.282,24.956,25.216,23.244,23.244,19.477,21.008,21.911,0,22.506,22.506,22.118,22.689,17.167,20.092,24.028,23.81,22.798,24.745,24.719,24.719,24.438,23.06,24.438,24.719,24.719,24.438,24.157,24.157,23.502,23.502,23.502,23.041,23.733,24.771,23.276,23.06,22.018,22.018,22.018,24.016,24.016,27.076,24.714,22.849,24.648,24.429,25.503,25.83,26.895,27.666,24.928,24.069,25.749,23.231,24.101,24.032,0,26.777,26.68,26.777,0,26.667,23.853,26.709,26.536,26.536,26.536,26.69,26.69,0,19.398,23.693,20.233,0,0,23.645,25.42,23.72,22.35,28.453,33.333,23.529,24.275,24.719,25,24.512,27.225,22.484,24.103,24.273,22.783,37.5,25.113,0,18.771,21.193,23.04,21.212,21.12,22.4,22.24,22.24,22.078,18.782,23.984,22.373,23.317,22.656,22.319,22.599,24.813,24.813,24.813,24.688,24.813,24.751,24.688,24.564,24.623,23.941,23.441,23.974,24.065,24.099,24.099,22.34,17.736,20.767,0,29.091,21.429,23.529,26.596,24.893,22.857,31.818,24.752,27.803,29.577,27.632,22.374,23.81,26.19,22.791,21.459,26.046,25,27.778,22.244,23.864,28.856,24.915,22.727,24.432,22.697,25.541,26.96,26.769,26.337,25.342,23.947,26.471,28.827,21.942,24.744,27.386,27.957,29.953
NC_035108_58,34.066,29.587,41.304,33.427,31.445,28.125,56.568,52.753,,99.948,99.948,99.896,99.584,99.837,98.193,69.884,60.51,64.541,63.862,62.981,62.236,60.083,60.135,60.943,60.916,24.176,29.127,27.477,29.107,28.194,27.941,31.176,31.641,29.944,21.875,25.152,24.546,27.883,28.331,28.484,29.553,29.553,29.553,29.252,29.144,28.929,29.212,26.822,26.854,26.501,26.055,26.112,26.495,27.28,26.727,26.768,25.388,25.768,23.2,25.7,22.045,24.806,24.586,30.013,28.879,27.964,25.18,25.823,21.142,23.986,24.148,31.295,25.559,28.046,25.882,27.265,26.102,19.458,19.458,19.54,19.54,19.54,19.54,22.315,23.713,24.918,23.861,18.024,20.785,19.746,25.542,25.326,24.496,25.756,25.378,25.076,25.278,23.106,25.084,24.715,23.657,26.25,24.915,23.012,21.378,19.579,18.964,20.806,21.463,24.635,24.585,23.573,23.573,21.124,21.221,20.199,20.763,23.636,23.557,23.875,24.772,20.833,22.909,25.632,26.087,24.164,24.544,26.333,27.523,27.37,27.428,27.523,27.829,27.829,27.829,27.523,27.37,27.732,27.732,27.869,27.459,27.596,28,26.695,27.559,26.06,26.06,26.06,26.588,26.588,24.109,24.774,24.762,25.532,25.327,25.503,21.645,24.688,15.743,22.34,20.952,20.958,23.79,23.442,23.403,26.681,24.56,24.506,24.506,28.049,28.542,27.324,24.476,24.571,24.623,24.571,24.611,24.611,22.785,23.917,23.086,23.761,25.256,25.225,25.926,25.173,24.645,24.205,26.413,30.702,22.208,24.25,26.124,25.481,22.847,25.039,23.823,23.93,23.839,22.609,22.175,22.897,25.414,23.793,24.149,26.328,25.574,25.861,26.656,23.806,23.806,23.627,18.782,24.593,23.855,23.225,23.438,22.71,24.59,24.006,24.075,24.075,24.006,24.075,23.997,24.006,24.075,23.27,25.11,24.247,25.054,23.013,22.702,22.658,24.607,21.542,24.636,26.519,24.831,25.426,25,29.13,25.163,24.79,28.358,29.778,25.403,26.396,28.738,24,28.077,26.154,22.222,22.662,24.595,26.014,26.412,26.073,27.731,27.568,24.065,24.318,28.512,23.507,25.09,25.2,28.715,26.932,25.673,23.423,26.26,26.226,26.014,25.943,26.274,29.289,25.237
NC_035109_50,34.615,29.752,41.304,33.146,31.445,28.125,56.568,52.674,99.948,,99.896,99.844,99.532,99.782,98.138,69.691,60.455,64.489,63.81,63.035,62.289,60.135,60.187,60.996,60.916,24.176,29.127,27.477,29.107,28.194,27.941,31.176,31.641,29.944,21.875,25,24.546,27.711,28.178,28.331,29.393,29.393,29.393,29.144,29.036,28.79,29.103,26.667,26.742,26.387,25.983,26.04,26.412,27.197,26.657,26.699,25.277,25.698,23.2,25.535,21.979,24.548,24.448,30.148,28.972,28.093,25.54,26.076,21.353,23.818,24.051,31.295,25.484,27.95,25.775,27.185,26.102,19.376,19.376,19.458,19.458,19.458,19.458,22.239,23.577,24.809,23.741,17.957,20.718,19.928,25.542,25.326,24.496,25.756,25.378,25.076,25.278,23.106,25.084,24.715,23.657,26.25,24.915,23.012,21.615,19.666,19.052,20.888,21.383,24.739,24.689,23.573,23.573,21.295,21.29,20.246,20.763,23.715,23.636,24.048,24.902,20.926,22.987,25.464,25.937,24.056,24.437,26.167,27.37,27.217,27.297,27.37,27.676,27.676,27.676,27.37,27.217,27.596,27.596,27.732,27.322,27.459,27.84,26.554,27.428,25.903,25.903,25.903,26.824,26.824,23.939,24.661,24.603,25.368,25.163,24.832,21.645,24.614,15.743,22.244,21.035,20.958,23.731,23.391,23.352,26.681,24.506,24.453,24.453,28.049,28.542,27.23,24.423,24.519,24.571,24.519,24.559,24.559,22.785,24.007,23.144,23.854,25.256,25.225,26.121,25.311,24.774,24.45,26.536,30.702,22.208,24.25,26.124,25.481,22.847,25.039,23.823,23.93,23.839,22.435,22.175,22.897,25.414,23.793,24.071,26.25,25.47,25.772,26.579,23.723,23.723,23.544,18.274,24.39,23.735,23.129,23.242,22.617,24.464,23.936,24.006,24.006,23.936,24.006,23.929,23.936,24.006,23.183,25,24.168,24.838,22.93,22.632,22.562,24.433,21.344,24.515,26.519,24.831,25.426,25,28.696,25.033,25.21,28.358,29.333,25.269,26.396,28.505,24.4,28.077,26.538,21.852,22.662,24.703,25.676,26.412,26.073,28.011,27.297,24.065,24.318,28.719,23.699,25.21,25.15,28.514,26.858,25.673,23.243,26.143,26.119,26.113,26.038,26.226,29.149,25.237
