Supplementary Table 3: Viral sequences used to create large-scale phylogenetic trees in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Positive-sense, ssRNA viruses",,,,,,,,,,,,,
Accession,Description,Taxonomy,,,,,,,,,,,
NC_024489.1,"Asterionellopsis glacialis RNA virus genomic RNA, complete genome, isolate: AglaRNAV","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unassigned Picornavirales; Bacillarnavirus; unclassified Bacillarnavirus",,,,,,,,,,,
NC_004301.1,Bacteriophage SP genomic RNA,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Allolevivirus",,,,,,,,,,,
NC_001411.2,"Black beetle virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nodaviridae; Alphanodavirus",,,,,,,,,,,
NC_026797.1,"Bovine hepacivirus isolate GHC25 polyprotein gene, complete cds","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus; unclassified Hepacivirus",,,,,,,,,,,
NC_016964.1,"Canine picornavirus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unclassified Picornavirales",,,,,,,,,,,
NC_003500.3,Carnation Italian ringspot virus genomic sequence for ORF1-5,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tombusviridae; Tombusvirus",,,,,,,,,,,
NC_001726.1,"Carrot mottle mimic umbravirus (CMoMV) dsRNA1, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tombusviridae; Umbravirus",,,,,,,,,,,
NC_012212.1,"Chaetoceros socialis f. radians RNA virus segment 1, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unassigned Picornavirales; Bacillarnavirus",,,,,,,,,,,
NC_006271.1,"Cherry rasp leaf virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Secoviridae; Cheravirus",,,,,,,,,,,
NC_001492.1,"Cryphonectria hypovirus 1, complete genome",Viruses; dsRNA viruses; Hypoviridae; Hypovirus,,,,,,,,,,,
NC_000960.1,"Cryphonectria hypovirus 3, complete genome",Viruses; dsRNA viruses; Hypoviridae; Hypovirus,,,,,,,,,,,
NC_004725.1,"Cucumber Bulgarian latent virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tombusviridae; Tombusvirus",,,,,,,,,,,
NC_003532.1,"Cymbidium ringspot virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tombusviridae; Tombusvirus",,,,,,,,,,,
NC_001477.1,"Dengue virus 1, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Dengue virus group",,,,,,,,,,,
NC_001890.1,"Enterobacteria phage Qbeta, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Allolevivirus",,,,,,,,,,,
NC_001481.2,"Feline calicivirus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Vesivirus",,,,,,,,,,,
NC_003603.1,"Groundnut rosette virus complete genome, strain MC1","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tombusviridae; Umbravirus",,,,,,,,,,,
NC_001981.1,"Helicoverpa armigera stunt virus RNA 1, complete sequence","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Alphatetraviridae; Omegatetravirus",,,,,,,,,,,
NC_004102.1,"Hepatitis C virus genotype 1, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus",,,,,,,,,,,
NC_035450.1,"Lasius neglectus virus 1 isolate Cambridge-Lne, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,,
NC_035456.1,"Lasius niger virus 1 isolate Cambridge-Lni, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,,
NC_004579.1,"Mink astrovirus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; Mamastrovirus",,,,,,,,,,,
NC_035457.1,"Myrmica scabrinodis virus 1 isolate Cambridge-Msc, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,,
NC_029647.1,"Norovirus GIV nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Norovirus",,,,,,,,,,,
NC_001990.1,"Nudaurelia capensis beta virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Alphatetraviridae; Betatetravirus",,,,,,,,,,,
NC_004049.1,"Ophiostoma mitovirus 3a, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Narnaviridae; Mitovirus",,,,,,,,,,,
NC_004052.1,"Ophiostoma mitovirus 4, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Narnaviridae; Mitovirus",,,,,,,,,,,
