Supplementary Table 1: Viral query sequences compiled for NIRVS identification in arthropod genomes. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
dsRNA viruses,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GenBank Accession,Protein description,Virus of origin,Sequence Length (amino acids),Taxonomy,,,,,,,,,,
YP_002321509,fusion protein p122,Southern tomato virus,1062,Amalgaviridae; Amalgavirus,,,,,,,,,,
YP_002321510,putative coat protein p42,Southern tomato virus,377,Amalgaviridae; Amalgavirus,,,,,,,,,,
NP_047195,hypothetical protein IPNVsAgp1 ,Infectious pancreatic necrosis virus,148,Birnaviridae; Aquabirnavirus,,,,,,,,,,
NP_047196,polyprotein,Infectious pancreatic necrosis virus,972,Birnaviridae; Aquabirnavirus,,,,,,,,,,
NP_047197,viral protein 1,Infectious pancreatic necrosis virus,845,Birnaviridae; Aquabirnavirus,,,,,,,,,,
NP_690837,VP5 protein,Infectious bursal disease virus,149,Birnaviridae; Avibirnavirus,,,,,,,,,,
NP_690838,VP2-4-3 polyprotein ,Infectious bursal disease virus,1012,Birnaviridae; Avibirnavirus,,,,,,,,,,
NP_690839,VP1 RNA-dependent RNA polymerase,Infectious bursal disease virus,879,Birnaviridae; Avibirnavirus,,,,,,,,,,
YP_052862,polyprotein ,Blotched snakehead virus,1069,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052863,VP5 protein,Blotched snakehead virus,139,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052864,RNA-dependent RNA polymerase,Blotched snakehead virus,867,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052865,VP2 protein,Blotched snakehead virus,416,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052866,VP2a protein ,Blotched snakehead virus,43,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052867,VP2b protein ,Blotched snakehead virus,7,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052868,VP2c protein ,Blotched snakehead virus,7,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052869,VP2d protein ,Blotched snakehead virus,12,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052870,X protein ,Blotched snakehead virus,71,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052871,VP4 protein ,Blotched snakehead virus,234,Birnaviridae; Blosnavirus,,,,,,,,,,
YP_052872,VP3 protein ,Blotched snakehead virus,278,Birnaviridae; Blosnavirus,,,,,,,,,,
NP_690806,putative RNA-dependent RNA polymerase VP1 ,Drosophila x virus,997,Birnaviridae; Entomobirnavirus,,,,,,,,,,
NP_690836,polyprotein ,Drosophila x virus,1032,Birnaviridae; Entomobirnavirus,,,,,,,,,,
YP_392482,RNA-dependent RNA polymerase ,Penicillium chrysogenum virus,1117,Chrysoviridae; Chrysovirus,,,,,,,,,,
YP_392483,major capsid protein ,Penicillium chrysogenum virus,982,Chrysoviridae; Chrysovirus,,,,,,,,,,
YP_392484,hypothetical protein ,Penicillium chrysogenum virus,912,Chrysoviridae; Chrysovirus,,,,,,,,,,
YP_392485,hypothetical protein ,Penicillium chrysogenum virus,847,Chrysoviridae; Chrysovirus,,,,,,,,,,
NP_620340,hypothetical protein phi-6S_1 ,Pseudomonas phage phi6,149,Cystoviridae; Cystovirus,,,,,,,,,,
NP_620345,hypothetical protein phi-6L_1 ,Pseudomonas phage phi6,161,Cystoviridae; Cystovirus,,,,,,,,,,
NP_620346,hypothetical protein phi-6L_2 ,Pseudomonas phage phi6,665,Cystoviridae; Cystovirus,,,,,,,,,,
NP_620347,hypothetical protein phi-6L_3 ,Pseudomonas phage phi6,332,Cystoviridae; Cystovirus,,,,,,,,,,
NP_620348,hypothetical protein phi-6L_4 ,Pseudomonas phage phi6,769,Cystoviridae; Cystovirus,,,,,,,,,,
NP_620351,P3 protein ,Pseudomonas phage phi6,648,Cystoviridae; Cystovirus,,,,,,,,,,
YP_438201,ORFA+B ,Vicia faba endornavirus,5825,Endornaviridae; Endornavirus,,,,,,,,,,
NP_041090,hypothetical protein ,Cryphonectria hypovirus 1,622,Hypoviridae; Hypovirus,,,,,,,,,,
NP_041091,hypothetical protein ,Cryphonectria hypovirus 1,3165,Hypoviridae; Hypovirus,,,,,,,,,,
YP_086754,RNA dependent RNA polymerase ,White clover cryptic virus 1,616,Partitiviridae; Alphapartitivirus,,,,,,,,,,
YP_086755,capsid protein ,White clover cryptic virus 1,487,Partitiviridae; Alphapartitivirus,,,,,,,,,,
NP_604475,Putative RNA dependent RNA polymerase ,Atkinsonella hypoxylon virus,665,Partitiviridae; Betapartitivirus,,,,,,,,,,
NP_604476,putative capsid protein ,Atkinsonella hypoxylon virus,652,Partitiviridae; Betapartitivirus,,,,,,,,,,
