"Supplementary Table 2: NIRVS found in nine arthropod genomes. Following a reciprocal tBLASTn search against the NCBI non-redundant database, details of the virus of origin for each NIRVS were collated using published and unpublished metadata. Possible false positive hits are highlighted in yellow and have not been included in final NIRVS counts elsewhere in the manuscript.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 1,,,,,,,,,,,,,,,
,,,,,,Characteristics of closest tBLASTn match,,,,,,,,,
Genomic scaffold accession,NIRVS ID,Hit start (nt),Hit end (nt),NIRVS length (nt) (negative value indicates antisense integration),Pairwise identity (%) with closest match,GenBank accession of closest match,Description of closest match,E-value of BLAST hit,Baltimore Class of closest hit,Family,Order,Genus,Classification notes,Viral region,Structural/non-structural
NC_035107,NC_035107_43,210552219,210553634,1415,60%,KP642128,"DsRNA virus environmental sample clone thai.aeae_contig5425 proline-alanine-rich protein and PArp-RdRp genes, partial cds",1.15E-34,III,Unassigned,Unassigned,Unassigned,Toti-like,PArP/RdRp,Non-structural
NC_035107,NC_035107_3,144947233,144945266,-1967,71%,EF105378,"Dengue virus type 2 strain PM33974 polyprotein gene, complete cds",1.57E-13,IV,Flaviviridae,Unassigned,Flavivirus,-,NS5,Non-structural
NC_035107,NC_035107_66,91827412,91827323,-89,70%,KX148584,SsRNA virus-like 5 genomic sequence,3.32E-21,IV,Unassigned,Unassigned,Unassigned,Nege-like,Replicase,Non-structural
NC_035107,NC_035107_67,91828880,91829269,389,55%,KX148584,SsRNA virus-like 5 genomic sequence,6.24E-38,IV,Unassigned,Unassigned,Unassigned,Nege-like,Replicase,Non-structural
NC_035107,NC_035107_68,97446372,97446950,578,48%,KX148584,SsRNA virus-like 5 genomic sequence,5.86E-72,IV,Unassigned,Unassigned,Unassigned,Nege-like,Replicase,Non-structural
NC_035107,NC_035107_69,141060367,141059504,-863,54%,KX148584,SsRNA virus-like 5 genomic sequence,1.54E-69,IV,Unassigned,Unassigned,Unassigned,Nege-like,Replicase,Non-structural
NC_035107,NC_035107_1,8748405,8748800,395,36.40%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",5.71E-14,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_10,91816088,91814802,-1286,54%,AF473865,"Vesicular stomatitis Indiana virus strain 85CLB, complete genome",4.73E-35,V,Rhabdoviridae,Mononegavirales,Vesiculovirus,-,L,Non-structural
NC_035107,NC_035107_11,126704193,126702931,-1262,57%,MG021441,"Vaprio virus nucleoprotein, phosphoprotein, matrix, glycoprotein, transcriptional unit 1, and polymerase genes, complete cds",1.25E-47,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035107,NC_035107_12,202679352,202679262,-90,57%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",2.74E-04,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035107,NC_035107_13,210524855,210525667,812,66%,KY768857,"Ohlsdorf virus strain Coswig/2013/Oc.cantans/S1 polymerase-associated protein (L) gene, complete cds",5.31E-36,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035107,NC_035107_14,214517650,214518909,1259,34%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",9.49E-55,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035107,NC_035107_15,234331157,234330555,-602,25%,JF502614,"Rhabdovirus 024698 glycoprotein gene, complete cds",2.03E-42,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035107,NC_035107_16,25144150,25146000,1850,28%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",2.07E-24,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_17,55195563,55194625,-938,42%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",9.98E-107,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_18,71248632,71246689,-1943,28%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",1.65E-38,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_19,91787850,91786837,-1013,32%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",7.94E-32,V,Rhabdoviridae,Mononegavirales,Tibrovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_2,210560776,210562191,1415,41%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",6.49E-35,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_20,91795630,91794473,-1157,28%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",6.32E-27,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_21,91817445,91816645,-800,29%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",3.85E-39,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_22,91833451,91833317,-134,34%,KM204983,"Barur virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds",7.60E-48,V,Rhabdoviridae,Mononegavirales,Ledantevirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_23,96472283,96471372,-911,29%,MF615270,"New Kent County virus isolate RTS126, complete genome",3.58E-26,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_24,113020012,113019572,-440,27%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",1.40E-20,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_25,132487228,132486326,-902,28%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",3.24E-27,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_26,132489444,132488632,-812,31%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",9.21E-33,V,Rhabdoviridae,Mononegavirales,Tibrovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_27,132496659,132497561,902,28%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",2.11E-18,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_28,132512286,132511240,-1046,30%,JX297815,"Bas-Congo virus isolate BASV-1 N protein gene, partial cds; P protein, M protein, U1 protein, U2 protein, G protein, and U3 protein genes, complete cds; and L protein gene, partial cds",1.67E-37,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_29,141027551,141026787,-764,28%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",1.65E-38,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_30,170703201,170702098,-1103,29%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",9.99E-15,V,Rhabdoviridae,Mononegavirales,Tibrovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_31,202679261,202678908,-353,29%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",4.82E-39,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_32,210474622,210475548,926,33%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",3.92E-26,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_33,210475542,210475820,278,29%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",4.16E-38,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_34,210523409,210523900,491,34%,KC412247,"Malpais Spring virus strain 85-488NM, complete genome",1.39E-17,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_35,210526913,210527416,503,26%,JQ941707,"Malakal virus isolate SudAr 1169-64, complete genome",1.12E-36,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_36,210528361,210529386,1025,42%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",7.76E-101,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_37,210549088,210550206,1118,36%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",7.80E-26,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_38,210550507,210551922,1415,36%,KM204982,"Garba virus nucleoprotein, phosphoprotein, hypothetical protein, matrix, hypothetical protein, glycoprotein, and polymerase genes, complete cds",1.19E-14,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_39,210553929,210555344,1415,27%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",1.78E-34,V,Rhabdoviridae,Mononegavirales,Tibrovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_4,132503374,132502754,-620,56%,MF176328,"Aedes alboannulatus orthomyxo-like virus strain mosWSAb70818 segment 4, complete sequence",4.48E-122,V,Orthomyxoviridae,Unassigned,Unassigned,-,NP,Structural
NC_035107,NC_035107_40,210562502,210563284,782,28%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",1.65E-38,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035107,NC_035107_41,213017882,213016827,-1055,29%,AB604791,"Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY",7.57E-20,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_42,245101204,245101025,-179,85%,KU248086,"Riverside virus 1 strain RISV-Danube 1, partial genome",1.14E-24,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_44,89244046,89243345,-701,75%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_45,91813057,91812431,-626,48%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",3.24E-82,V,Unassigned,Mononegavirales,Anphevirus,-,Glycoprotein,Structural
NC_035107,NC_035107_46,91835446,91834046,-1400,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
